Name,Position,NFL_Team,Consensus_Rank,Consensus_Pos_Rank,ESPN_Rank,ESPN_Pos_Rank,ADP,Bye_Week,Depth_Level,Injury_Status,Projection,Tier
Trevor Etienne,RB,CAR,305,91,,,562.0,5,Rotational,Healthy,,13
Brandon Aiyuk,WR,SF,306,108,,,277.0,8,Rotational,Out,,13
Isaac Guerendo,RB,SF,307,92,,,542.0,8,Rotational,Active/PUP (torn pec) — 8/30 cutdown conversion risk,,13
Indianapolis Colts,DST,IND,308,20,,,281.0,13,Unknown,Healthy,,5
Chicago Bears,DST,CHI,309,21,,,200.0,10,Unknown,Healthy,,5
Andrei Iosivas,WR,CIN,310,109,,,407.0,6,Rotational,Healthy,,13
Charlie Smyth,K,NO,311,18,,,308.0,8,Starter,Healthy,,4
Tyreek Hill,WR,FA,312,110,,,218.0,,Unknown,Questionable,,13
Jerome Ford,RB,WAS,313,93,,,602.0,7,Rotational,Healthy,,13
Tahj Brooks,RB,CIN,314,94,,,438.0,6,Rotational,Healthy,,13
Jarquez Hunter,RB,LAR,315,95,,,385.0,11,Rotational,Healthy,,13
Oscar Delp,TE,NO,316,37,,,522.0,8,Rotational,Healthy,,10
Jake Tonges,TE,SF,317,38,,,266.0,8,Backup,Questionable,,10
Darren Waller,TE,CAR,318,39,,,412.0,5,Unknown,Questionable,,10
Audric Estime,RB,NO,319,96,,,376.0,8,Rotational,Healthy,,13
Jaleel McLaughlin,RB,DEN,320,97,,,615.0,10,Rotational,Healthy,,13
Will Shipley,RB,PHI,321,98,,,468.0,10,Rotational,Healthy,,13
Darnell Washington,TE,PIT,322,40,,,292.0,9,Backup,Healthy,,10
Jahan Dotson,WR,ATL,323,111,,,514.0,11,Rotational,Healthy,,13
Michael Mayer,TE,LV,324,41,,,444.0,13,Backup,Healthy,,10
Dallas Cowboys,DST,DAL,325,22,,,187.0,14,Unknown,Healthy,,5
Elijah Arroyo,TE,SEA,326,42,,,332.0,11,Backup,Healthy,,10
DeMario Douglas,WR,NE,327,112,,,590.0,11,Rotational,Healthy,,13
Jalen Tolbert,WR,MIA,328,113,,,313.0,6,Rotational,Healthy,,13
J.J. McCarthy,QB,MIN,329,36,,,258.0,6,Backup,Healthy,,10
Bryce Lance,WR,NO,330,114,,,428.0,8,Rotational,Healthy,,13
Carson Beck,QB,ARI,331,37,,,307.0,14,Rotational,Healthy,,10
Xavier Hutchinson,WR,HOU,332,115,,,611.0,8,Rotational,Healthy,,13
Charlie Kolar,TE,LAC,333,43,,,463.0,7,Rotational,Healthy,,10
Konata Mumpfield,WR,LAR,334,116,,,348.0,11,Rotational,Healthy,,13
Kareem Hunt,RB,FA,335,99,,,339.0,,Unknown,Healthy,,13
Joe Mixon,RB,FA,336,100,,,294.0,,Unknown,Questionable,,13
Tez Johnson,WR,TB,337,117,,,503.0,10,Rotational,Healthy,,13
Chris Brazzell II,WR,CAR,338,118,,,619.0,5,Rotational,Questionable,,13
Jalen Royals,WR,KC,339,119,,,436.0,5,Rotational,Healthy,,13
Erick All Jr.,TE,CIN,340,44,,,,6,Rotational,Questionable,,10
Tyler Higbee,TE,LAR,341,45,,,337.0,11,Rotational,Healthy,,10
Cedric Tillman,WR,CLE,342,120,,,638.0,11,Rotational,Healthy,,13
Olamide Zaccheaus,WR,ATL,343,121,,,574.0,11,Rotational,Healthy,,13
Cole Kmet,TE,CHI,344,46,,,296.0,10,Backup,Healthy,,10
Bam Knight,RB,ARI,345,101,,,,14,Unknown,Healthy,,13
Max Klare,TE,LAR,346,47,,,354.0,11,Rotational,Healthy,,10
Mac Jones,QB,SF,347,38,,,330.0,8,Backup,Questionable,,10
Calvin Austin III,WR,NYG,348,122,,,393.0,8,Rotational,Healthy,,13
Eli Raridon,TE,NE,349,48,,,340.0,11,Rotational,Healthy,,10
Luke McCaffrey,WR,WAS,350,123,,,315.0,7,Rotational,Healthy,,13
Noah Gray,TE,KC,351,49,,,357.0,5,Backup,Healthy,,10
Kendrick Bourne,WR,ARI,352,124,,,605.0,14,Rotational,Healthy,,13
Joshua Palmer,WR,BUF,353,125,,,338.0,7,Rotational,Healthy,,13
Jake Elliott,K,PHI,354,19,,,225.0,10,Starter,Healthy,,5
Dawson Knox,TE,BUF,355,50,,,309.0,7,Backup,Healthy,,11
Carolina Panthers,DST,CAR,356,23,,,262.0,5,Unknown,Healthy,,6
New York Giants,DST,NYG,357,24,,,226.0,8,Unknown,Healthy,,6
Brenen Thompson,WR,LAC,358,126,,,525.0,7,Rotational,Healthy,,14
Ja'Tavion Sanders,TE,CAR,359,51,,,329.0,5,Backup,Healthy,,11
Treylon Burks,WR,WAS,360,127,,,596.0,7,Rotational,Healthy,,14
Tennessee Titans,DST,TEN,361,25,,,259.0,9,Unknown,Healthy,,6
Justin Fields,QB,KC,362,39,,,316.0,5,Backup,Healthy,,11
Eli Heidenreich,RB,PIT,363,102,,,,9,Rotational,Healthy,,14
Ty Simpson,QB,LAR,364,40,,,274.0,11,Backup,Healthy,,11
Trey Smack,K,GB,365,20,,,219.0,11,Starter,Healthy,,5
Tyler Bass,K,BUF,366,21,,,246.0,7,Starter,Questionable,,5
Malik Benson,WR,LV,367,128,,,459.0,13,Rotational,Healthy,,14
Tampa Bay Buccaneers,DST,TB,368,26,,,238.0,10,Unknown,Healthy,,6
Justin Joly,TE,DEN,369,52,,,448.0,10,Rotational,Healthy,,11
Cincinnati Bengals,DST,CIN,370,27,,,268.0,6,Unknown,Healthy,,6
Nick Folk,K,ATL,371,22,,,278.0,11,Starter,Healthy,,5
Zane Gonzalez,K,FA,372,23,,,536.0,,Starter,Healthy,,5
Kalif Raymond,WR,CHI,373,129,,,458.0,10,Rotational,Healthy,,14
Savion Williams,WR,GB,374,130,,,618.0,11,Rotational,Healthy,,14
Kevin Coleman Jr.,WR,MIA,375,131,,,597.0,6,Rotational,Healthy,,14
Anthony Richardson Sr.,QB,IND,376,41,,,418.0,13,Backup,Healthy,,11
Michael Carter,RB,TEN,377,103,,,660.0,9,Rotational,Healthy,,14
Jawhar Jordan,RB,HOU,378,104,,,560.0,8,Rotational,Healthy,,14
Dont'e Thornton Jr.,WR,LV,379,132,,,495.0,13,Rotational,Healthy,,14
Raheim Sanders,RB,CLE,380,105,,,523.0,11,Rotational,Healthy,,14
Joe Flacco,QB,CIN,381,42,,,325.0,6,Backup,Healthy,,11
Roman Wilson,WR,PIT,382,133,,,464.0,9,Rotational,Healthy,,14
KaVontae Turpin,WR,DAL,383,134,,,352.0,14,Rotational,Healthy,,14
Blake Grupe,K,IND,384,24,,,272.0,13,Starter,Healthy,,5
Noah Fant,TE,NO,385,53,,,381.0,8,Backup,Healthy,,11
John Metchie III,WR,CAR,386,135,,,539.0,5,Rotational,Healthy,,14
Phil Mafah,RB,DAL,387,106,,,,14,Rotational,Healthy,,14
Jaylin Lane,WR,WAS,388,136,,,530.0,7,Rotational,Healthy,,14
Miami Dolphins,DST,MIA,389,28,,,293.0,6,Unknown,Healthy,,6
Nick Westbrook-Ikhine,WR,IND,390,137,,,592.0,13,Rotational,Healthy,,14
Zavion Thomas,WR,CHI,391,138,,,347.0,10,Rotational,Healthy,,14
Tommy Tremble,TE,CAR,392,54,,,363.0,5,Starter,Healthy,,11
Chad Ryland,K,ARI,393,25,,,319.0,14,Starter,Healthy,,5
Roschon Johnson,RB,CHI,394,107,,,581.0,10,Rotational,Healthy,,14
Ryan Fitzgerald,K,CAR,395,26,,,335.0,5,Starter,Healthy,,5
Colbie Young,WR,CIN,396,139,,,341.0,6,Rotational,Healthy,,14
Washington Commanders,DST,WAS,397,29,,,284.0,7,Unknown,Healthy,,6
Kyle Juszczyk,RB,SF,398,108,,,373.0,8,Unknown,Healthy,,14
Daniel Carlson,K,NO,399,27,,,508.0,8,Unknown,Healthy,,5
Joey Slye,K,TEN,400,28,,,279.0,9,Starter,Healthy,,5
Tutu Atwell,WR,MIA,401,140,,,577.0,6,Rotational,Healthy,,14
Jameis Winston,QB,NYG,402,43,,,312.0,8,Backup,Healthy,,11
Luke Musgrave,TE,GB,403,55,,,392.0,11,Backup,Questionable,,11
Marcus Mariota,QB,WAS,404,44,,,450.0,7,Backup,Healthy,,11
Devontez Walker,WR,BAL,405,141,,,326.0,13,Rotational,Healthy,,14
CJ Daniels,WR,LAR,406,142,,,540.0,11,Rotational,Healthy,,14
Brandon McManus,K,FA,407,29,,,404.0,,Unknown,Healthy,,5
J'Mari Taylor,RB,JAC,408,109,,,,7,Rotational,Healthy,,14
Demarcus Robinson,WR,SF,409,143,,,442.0,8,Rotational,Healthy,,14
Jordan Whittington,WR,LAR,410,144,,,344.0,11,Rotational,Healthy,,14
Jam Miller,RB,NE,411,110,,,,11,Rotational,Healthy,,14
John Bates,TE,WAS,412,56,,,617.0,7,Rotational,Healthy,,11
Ben Sauls,K,NYG,413,30,,,314.0,8,Backup,Healthy,,5
Ashton Dulin,WR,IND,414,145,,,,13,Rotational,Healthy,,14
Ben Sinnott,TE,WAS,415,57,,,620.0,7,Backup,Healthy,,11
Mitchell Evans,TE,CAR,416,58,,,,5,Rotational,Healthy,,11
Cade Klubnik,QB,NYJ,417,45,,,353.0,13,Backup,Healthy,,11
Rasheen Ali,RB,BAL,418,111,,,,13,Rotational,Healthy,,14
Las Vegas Raiders,DST,LV,419,30,,,276.0,13,Unknown,Healthy,,6
Barion Brown,WR,NO,420,146,,,475.0,8,Unknown,Healthy,,14
Joe Milton III,QB,DAL,421,46,,,386.0,14,Rotational,Healthy,,11
Sione Vaki,RB,DET,422,112,,,,6,Rotational,Healthy,,14
Austin Hooper,TE,ATL,423,59,,,484.0,11,Backup,Healthy,,12
Daniel Bellinger,TE,TEN,424,60,,,583.0,9,Backup,Healthy,,12
New York Jets,DST,NYJ,425,31,,,488.0,13,Unknown,Healthy,,7
Austin Ekeler,RB,FA,426,113,,,593.0,,Unknown,Healthy,,15
Tommy Myers,TE,FA,427,61,,,,,Unknown,Healthy,,12
Elijah Higgins,TE,ARI,428,62,,,366.0,14,Backup,Healthy,,12
Isaiah Williams,WR,NYJ,429,147,,,614.0,13,Unknown,Healthy,,15
Dameon Pierce,RB,PHI,430,114,,,,10,Rotational,Healthy,,15
Hunter Luepke,RB,DAL,431,115,,,469.0,14,Unknown,Healthy,,15
Spencer Shrader,K,IND,432,31,,,345.0,13,Backup,Questionable,,6
Jake Moody,K,FA,433,32,,,331.0,,Starter,Healthy,,6
Tyler Goodson,RB,ATL,434,116,,,,11,Unknown,Healthy,,15
Greg Dortch,WR,DET,435,148,,,490.0,6,Rotational,Healthy,,15
Marlin Klein,TE,HOU,436,63,,,493.0,8,Rotational,Questionable,,12
Jeremy McNichols,RB,WAS,437,117,,,,7,Rotational,Healthy,,15
Riley Leonard,QB,IND,438,47,,,594.0,13,Rotational,Healthy,,12
Dylan Laube,RB,LV,439,118,,,,13,Rotational,Healthy,,15
Khalil Herbert,RB,SF,440,119,,,,8,Unknown,Healthy,,15
Jason Sanders,K,NYJ,441,33,,,318.0,13,Starter,Healthy,,6
Odell Beckham Jr.,WR,NYG,442,149,,,346.0,8,Rotational,Healthy,,15
Ronnie Rivers,RB,LAR,443,120,,,580.0,11,Rotational,Healthy,,15
Damien Martinez,RB,GB,444,121,,,,11,Rotational,Healthy,,15
Zavier Scott,RB,MIN,445,122,,,,6,Rotational,Healthy,,15
Ty Chandler,RB,NO,446,123,,,666.0,8,Rotational,Healthy,,15
Tai Felton,WR,MIN,447,150,,,483.0,6,Rotational,Healthy,,15
Jonnu Smith,TE,FA,448,64,,,,,Unknown,Healthy,,12
Dyami Brown,WR,WAS,449,151,,,613.0,7,Rotational,Healthy,,15
Reggie Gilliam,RB,NE,450,124,,,553.0,11,Unknown,Healthy,,15
Van Jefferson,WR,WAS,451,152,,,572.0,7,Rotational,Healthy,,15
Mitch Tinsley,WR,CIN,452,153,,,631.0,6,Rotational,Healthy,,15
Roman Hemby,RB,LV,453,125,,,,13,Unknown,Healthy,,15
Deion Burks,WR,IND,454,154,,,,13,Rotational,Healthy,,15
Will Kacmarek,TE,MIA,455,65,,,364.0,6,Unknown,Healthy,,12
Terrell Jennings,RB,FA,456,126,,,,,Rotational,IR — SEASON OVER (placed 8/13),,15
Alec Ingold,RB,LAC,457,127,,,625.0,7,Unknown,Healthy,,15
Patrick Ricard,RB,NYG,458,128,,,557.0,8,Unknown,Healthy,,15
Robert Henry Jr.,RB,WAS,459,129,,,,7,Unknown,Healthy,,15
Josh Oliver,TE,MIN,460,66,,,380.0,6,Backup,Questionable,,12
Arizona Cardinals,DST,ARI,461,32,,,305.0,14,Unknown,Healthy,,7
Quinn Ewers,QB,MIA,462,48,,,378.0,6,Backup,Healthy,,12
Elijah Moore,WR,PHI,463,155,,,,10,Rotational,Healthy,,15
Isaiah Williams,WR,FA,464,156,,,,,Unknown,Healthy,,15
Zach Ertz,TE,FA,465,67,,,598.0,,Unknown,Questionable,,12
Tyler Badie,RB,DEN,466,130,,,,10,Rotational,Healthy,,15
Max Bredeson,RB,MIN,467,131,,,537.0,6,Unknown,Healthy,,15
Tim Patrick,WR,NYJ,468,157,,,570.0,13,Rotational,PUP,,15
Xavier Restrepo,WR,TEN,469,158,,,,9,Rotational,Healthy,,15
Drew Stevens,K,WAS,470,34,,,302.0,7,Unknown,Healthy,,6
Adam Prentice,RB,DEN,471,132,,,628.0,10,Unknown,Healthy,,15
Tanner Koziol,TE,JAC,472,68,,,486.0,7,Unknown,Healthy,,12
Jacob Cowing,WR,SF,473,159,,,,8,Unknown,Healthy,,15
Jordan Watkins,WR,SF,474,160,,,,8,Unknown,Healthy,,15
Jimmy Horn Jr.,WR,CAR,475,161,,,470.0,5,Unknown,Healthy,,15
Cedrick Wilson Jr.,WR,DET,476,162,,,649.0,6,Unknown,Healthy,,15
Xavier Smith,WR,LAR,477,163,,,383.0,11,Rotational,Healthy,,15
Marquez Valdes-Scantling,WR,DAL,478,164,,,497.0,14,Rotational,Healthy,,15
Antonio Gibson,RB,FA,479,133,,,603.0,,Unknown,Questionable,,15
Theo Wease Jr.,WR,MIA,480,165,,,,6,Rotational,Healthy,,15
Matt Hibner,TE,BAL,481,69,,,,13,Unknown,Healthy,,12
Jahdae Walker,WR,CHI,482,166,,,399.0,10,Rotational,Healthy,,15
Jackson Hawes,TE,BUF,483,70,,,467.0,7,Unknown,Healthy,,12
Jacob Saylors,RB,DET,484,134,,,612.0,6,Rotational,Healthy,,15
Drew Allar,QB,PIT,485,49,,,311.0,9,Unknown,Healthy,,12
Chris Blair,WR,ATL,486,167,,,,11,Unknown,Healthy,,15
Sam Roush,TE,CHI,487,71,,,546.0,10,Rotational,Healthy,,12
Jalen Reagor,WR,MIA,488,168,,,,6,Unknown,Healthy,,15
Travis Homer,RB,PIT,489,135,,,653.0,9,Unknown,Healthy,,15
British Brooks,RB,HOU,490,136,,,642.0,8,Unknown,Healthy,,15
Michael Woods II,WR,DEN,491,169,,,,10,Unknown,Questionable,,15
Jake Browning,QB,TB,492,50,,,424.0,10,Unknown,Healthy,,12
David Sills V,WR,TB,493,170,,,,10,Unknown,Healthy,,15
Luke Schoonmaker,TE,DAL,494,72,,,374.0,14,Rotational,Healthy,,13
Frank Gore Jr.,RB,BUF,495,137,,,584.0,7,Rotational,Healthy,,16
Dominic Zvada,K,NYG,496,35,,,360.0,8,Unknown,Healthy,,7
Tyrod Taylor,QB,GB,497,51,,,389.0,11,Unknown,Healthy,,13
DeAndre Hopkins,WR,BAL,498,171,,,510.0,13,Unknown,Healthy,,16
Kene Nwangwu,RB,NYJ,499,138,,,,13,Unknown,Healthy,,16
Mason Rudolph,QB,PIT,500,52,,,482.0,9,Unknown,Healthy,,13
Gardner Minshew II,QB,ARI,501,53,,,552.0,14,Backup,Healthy,,13
Jeremy Ruckert,TE,NYJ,502,73,,,528.0,13,Unknown,Healthy,,13
Drew Sample,TE,CIN,503,74,,,616.0,6,Rotational,Healthy,,13
Jaret Patterson,RB,LAC,504,139,,,,7,Rotational,Healthy,,16
Adam Trautman,TE,DEN,505,75,,,421.0,10,Backup,Healthy,,13
Tanner Hudson,TE,CIN,506,76,,,,6,Unknown,Healthy,,13
Michael Burton,RB,CLE,507,140,,,629.0,11,Unknown,Healthy,,16
Durham Smythe,TE,BAL,508,77,,,505.0,13,Backup,Healthy,,13
Tyler Lockett,WR,LV,509,172,,,,13,Unknown,Healthy,,16
Nate Boerkircher,TE,JAC,510,78,,,521.0,7,Rotational,Healthy,,13
Cade Stover,TE,HOU,511,79,,,519.0,8,Rotational,Healthy,,13
Miles Davis,RB,CAR,512,141,,,,5,Unknown,Healthy,,16
Foster Moreau,TE,HOU,513,80,,,,8,Unknown,Healthy,,13
KeAndre Lambert-Smith,WR,LAC,514,173,,,472.0,7,Unknown,Healthy,,16
Noah Whittington,RB,HOU,515,142,,,,8,Unknown,Healthy,,16
Miles Sanders,RB,FA,516,143,,,,,Unknown,Questionable,,16
Tyler Conklin,TE,DET,517,81,,,544.0,6,Rotational,PUP,,13
Jermaine Burton,WR,FA,518,174,,,,,Unknown,Healthy,,16
Elijah Mitchell,RB,FA,519,144,,,,,Rotational,Healthy,,16
Trey Lance,QB,LAC,520,54,,,453.0,7,Unknown,Healthy,,13
Jaydn Ott,RB,KC,521,145,,,,5,Rotational,Healthy,,16
Lil'Jordan Humphrey,WR,DEN,522,175,,,358.0,10,Rotational,Healthy,,16
Michael Trigg,TE,DAL,523,82,,,432.0,14,Backup,Healthy,,13
Taysom Hill,TE,FA,524,83,,,588.0,,Unknown,Healthy,,13
